ID,Parameter_ID,Name,Description,Number
97-B,97,B,feature is neither pervasive nor extremely rare,2
97-C,97,C,"feature exists, but is extremely rare",3
97-D,97,D,attested absence of feature,4
97-X,97,X,feature is not applicable (given the structural make-up of the variety/P/C),5
97-NA,97,?,no information on feature is available,6
98-A,98,A,feature is pervasive or obligatory,1
98-B,98,B,feature is neither pervasive nor extremely rare,2
98-C,98,C,"feature exists, but is extremely rare",3
98-D,98,D,attested absence of feature,4
98-X,98,X,feature is not applicable (given the structural make-up of the variety/P/C),5
98-NA,98,?,no information on feature is available,6
99-A,99,A,feature is pervasive or obligatory,1
99-B,99,B,feature is neither pervasive nor extremely rare,2
99-C,99,C,"feature exists, but is extremely rare",3
99-D,99,D,attested absence of feature,4
99-X,99,X,feature is not applicable (given the structural make-up of the variety/P/C),5
99-NA,99,?,no information on feature is available,6
100-A,100,A,feature is pervasive or obligatory,1
100-B,100,B,feature is neither pervasive nor extremely rare,2
100-C,100,C,"feature exists, but is extremely rare",3
100-D,100,D,attested absence of feature,4
100-X,100,X,feature is not applicable (given the structural make-up of the variety/P/C),5
100-NA,100,?,no information on feature is available,6
101-A,101,A,feature is pervasive or obligatory,1
101-B,101,B,feature is neither pervasive nor extremely rare,2
101-C,101,C,"feature exists, but is extremely rare",3
101-D,101,D,attested absence of feature,4
101-X,101,X,feature is not applicable (given the structural make-up of the variety/P/C),5
101-NA,101,?,no information on feature is available,6
102-A,102,A,feature is pervasive or obligatory,1
102-B,102,B,feature is neither pervasive nor extremely rare,2
102-C,102,C,"feature exists, but is extremely rare",3
102-D,102,D,attested absence of feature,4
102-X,102,X,feature is not applicable (given the structural make-up of the variety/P/C),5
102-NA,102,?,no information on feature is available,6
103-A,103,A,feature is pervasive or obligatory,1
103-B,103,B,feature is neither pervasive nor extremely rare,2
103-C,103,C,"feature exists, but is extremely rare",3
103-D,103,D,attested absence of feature,4
103-X,103,X,feature is not applicable (given the structural make-up of the variety/P/C),5
103-NA,103,?,no information on feature is available,6
104-A,104,A,feature is pervasive or obligatory,1
104-B,104,B,feature is neither pervasive nor extremely rare,2
104-C,104,C,"feature exists, but is extremely rare",3
104-D,104,D,attested absence of feature,4
104-X,104,X,feature is not applicable (given the structural make-up of the variety/P/C),5
104-NA,104,?,no information on feature is available,6
105-A,105,A,feature is pervasive or obligatory,1
105-B,105,B,feature is neither pervasive nor extremely rare,2
105-C,105,C,"feature exists, but is extremely rare",3
105-D,105,D,attested absence of feature,4
105-X,105,X,feature is not applicable (given the structural make-up of the variety/P/C),5
105-NA,105,?,no information on feature is available,6
106-A,106,A,feature is pervasive or obligatory,1
106-B,106,B,feature is neither pervasive nor extremely rare,2
106-C,106,C,"feature exists, but is extremely rare",3
106-D,106,D,attested absence of feature,4
106-X,106,X,feature is not applicable (given the structural make-up of the variety/P/C),5
106-NA,106,?,no information on feature is available,6
107-A,107,A,feature is pervasive or obligatory,1
107-B,107,B,feature is neither pervasive nor extremely rare,2
107-C,107,C,"feature exists, but is extremely rare",3
107-D,107,D,attested absence of feature,4
107-X,107,X,feature is not applicable (given the structural make-up of the variety/P/C),5
107-NA,107,?,no information on feature is available,6
108-A,108,A,feature is pervasive or obligatory,1
108-B,108,B,feature is neither pervasive nor extremely rare,2
108-C,108,C,"feature exists, but is extremely rare",3
108-D,108,D,attested absence of feature,4
108-X,108,X,feature is not applicable (given the structural make-up of the variety/P/C),5
108-NA,108,?,no information on feature is available,6
109-A,109,A,feature is pervasive or obligatory,1
109-B,109,B,feature is neither pervasive nor extremely rare,2
109-C,109,C,"feature exists, but is extremely rare",3
109-D,109,D,attested absence of feature,4
109-X,109,X,feature is not applicable (given the structural make-up of the variety/P/C),5
109-NA,109,?,no information on feature is available,6
110-A,110,A,feature is pervasive or obligatory,1
110-B,110,B,feature is neither pervasive nor extremely rare,2
110-C,110,C,"feature exists, but is extremely rare",3
110-D,110,D,attested absence of feature,4
110-X,110,X,feature is not applicable (given the structural make-up of the variety/P/C),5
110-NA,110,?,no information on feature is available,6
111-A,111,A,feature is pervasive or obligatory,1
111-B,111,B,feature is neither pervasive nor extremely rare,2
111-C,111,C,"feature exists, but is extremely rare",3
111-D,111,D,attested absence of feature,4
111-X,111,X,feature is not applicable (given the structural make-up of the variety/P/C),5
111-NA,111,?,no information on feature is available,6
112-A,112,A,feature is pervasive or obligatory,1
112-B,112,B,feature is neither pervasive nor extremely rare,2
112-C,112,C,"feature exists, but is extremely rare",3
112-D,112,D,attested absence of feature,4
112-X,112,X,feature is not applicable (given the structural make-up of the variety/P/C),5
112-NA,112,?,no information on feature is available,6
113-A,113,A,feature is pervasive or obligatory,1
113-B,113,B,feature is neither pervasive nor extremely rare,2
113-C,113,C,"feature exists, but is extremely rare",3
113-D,113,D,attested absence of feature,4
113-X,113,X,feature is not applicable (given the structural make-up of the variety/P/C),5
113-NA,113,?,no information on feature is available,6
114-A,114,A,feature is pervasive or obligatory,1
114-B,114,B,feature is neither pervasive nor extremely rare,2
114-C,114,C,"feature exists, but is extremely rare",3
114-D,114,D,attested absence of feature,4
114-X,114,X,feature is not applicable (given the structural make-up of the variety/P/C),5
114-NA,114,?,no information on feature is available,6
115-A,115,A,feature is pervasive or obligatory,1
115-B,115,B,feature is neither pervasive nor extremely rare,2
115-C,115,C,"feature exists, but is extremely rare",3
115-D,115,D,attested absence of feature,4
115-X,115,X,feature is not applicable (given the structural make-up of the variety/P/C),5
115-NA,115,?,no information on feature is available,6
116-A,116,A,feature is pervasive or obligatory,1
116-B,116,B,feature is neither pervasive nor extremely rare,2
116-C,116,C,"feature exists, but is extremely rare",3
116-D,116,D,attested absence of feature,4
116-X,116,X,feature is not applicable (given the structural make-up of the variety/P/C),5
116-NA,116,?,no information on feature is available,6
117-A,117,A,feature is pervasive or obligatory,1
117-B,117,B,feature is neither pervasive nor extremely rare,2
117-C,117,C,"feature exists, but is extremely rare",3
117-D,117,D,attested absence of feature,4
117-X,117,X,feature is not applicable (given the structural make-up of the variety/P/C),5
117-NA,117,?,no information on feature is available,6
118-A,118,A,feature is pervasive or obligatory,1
118-B,118,B,feature is neither pervasive nor extremely rare,2
118-C,118,C,"feature exists, but is extremely rare",3
118-D,118,D,attested absence of feature,4
118-X,118,X,feature is not applicable (given the structural make-up of the variety/P/C),5
118-NA,118,?,no information on feature is available,6
119-A,119,A,feature is pervasive or obligatory,1
119-B,119,B,feature is neither pervasive nor extremely rare,2
119-C,119,C,"feature exists, but is extremely rare",3
119-D,119,D,attested absence of feature,4
119-X,119,X,feature is not applicable (given the structural make-up of the variety/P/C),5
119-NA,119,?,no information on feature is available,6
120-A,120,A,feature is pervasive or obligatory,1
120-B,120,B,feature is neither pervasive nor extremely rare,2
120-C,120,C,"feature exists, but is extremely rare",3
120-D,120,D,attested absence of feature,4
120-X,120,X,feature is not applicable (given the structural make-up of the variety/P/C),5
120-NA,120,?,no information on feature is available,6
121-A,121,A,feature is pervasive or obligatory,1
121-B,121,B,feature is neither pervasive nor extremely rare,2
121-C,121,C,"feature exists, but is extremely rare",3
121-D,121,D,attested absence of feature,4
121-X,121,X,feature is not applicable (given the structural make-up of the variety/P/C),5
121-NA,121,?,no information on feature is available,6
122-A,122,A,feature is pervasive or obligatory,1
122-B,122,B,feature is neither pervasive nor extremely rare,2
122-C,122,C,"feature exists, but is extremely rare",3
122-D,122,D,attested absence of feature,4
122-X,122,X,feature is not applicable (given the structural make-up of the variety/P/C),5
122-NA,122,?,no information on feature is available,6
123-A,123,A,feature is pervasive or obligatory,1
123-B,123,B,feature is neither pervasive nor extremely rare,2
123-C,123,C,"feature exists, but is extremely rare",3
123-D,123,D,attested absence of feature,4
123-X,123,X,feature is not applicable (given the structural make-up of the variety/P/C),5
123-NA,123,?,no information on feature is available,6
124-A,124,A,feature is pervasive or obligatory,1
124-B,124,B,feature is neither pervasive nor extremely rare,2
124-C,124,C,"feature exists, but is extremely rare",3
124-D,124,D,attested absence of feature,4
124-X,124,X,feature is not applicable (given the structural make-up of the variety/P/C),5
124-NA,124,?,no information on feature is available,6
125-A,125,A,feature is pervasive or obligatory,1
125-B,125,B,feature is neither pervasive nor extremely rare,2
125-C,125,C,"feature exists, but is extremely rare",3
125-D,125,D,attested absence of feature,4
125-X,125,X,feature is not applicable (given the structural make-up of the variety/P/C),5
125-NA,125,?,no information on feature is available,6
126-A,126,A,feature is pervasive or obligatory,1
126-B,126,B,feature is neither pervasive nor extremely rare,2
126-C,126,C,"feature exists, but is extremely rare",3
126-D,126,D,attested absence of feature,4
126-X,126,X,feature is not applicable (given the structural make-up of the variety/P/C),5
126-NA,126,?,no information on feature is available,6
127-A,127,A,feature is pervasive or obligatory,1
127-B,127,B,feature is neither pervasive nor extremely rare,2
127-C,127,C,"feature exists, but is extremely rare",3
127-D,127,D,attested absence of feature,4
127-X,127,X,feature is not applicable (given the structural make-up of the variety/P/C),5
127-NA,127,?,no information on feature is available,6
128-A,128,A,feature is pervasive or obligatory,1
128-B,128,B,feature is neither pervasive nor extremely rare,2
128-C,128,C,"feature exists, but is extremely rare",3
128-D,128,D,attested absence of feature,4
128-X,128,X,feature is not applicable (given the structural make-up of the variety/P/C),5
128-NA,128,?,no information on feature is available,6
129-A,129,A,feature is pervasive or obligatory,1
129-B,129,B,feature is neither pervasive nor extremely rare,2
129-C,129,C,"feature exists, but is extremely rare",3
129-D,129,D,attested absence of feature,4
129-X,129,X,feature is not applicable (given the structural make-up of the variety/P/C),5
129-NA,129,?,no information on feature is available,6
130-A,130,A,feature is pervasive or obligatory,1
130-B,130,B,feature is neither pervasive nor extremely rare,2
130-C,130,C,"feature exists, but is extremely rare",3
130-D,130,D,attested absence of feature,4
130-X,130,X,feature is not applicable (given the structural make-up of the variety/P/C),5
130-NA,130,?,no information on feature is available,6
131-A,131,A,feature is pervasive or obligatory,1
131-B,131,B,feature is neither pervasive nor extremely rare,2
131-C,131,C,"feature exists, but is extremely rare",3
131-D,131,D,attested absence of feature,4
131-X,131,X,feature is not applicable (given the structural make-up of the variety/P/C),5
131-NA,131,?,no information on feature is available,6
132-A,132,A,feature is pervasive or obligatory,1
132-B,132,B,feature is neither pervasive nor extremely rare,2
132-C,132,C,"feature exists, but is extremely rare",3
132-D,132,D,attested absence of feature,4
132-X,132,X,feature is not applicable (given the structural make-up of the variety/P/C),5
132-NA,132,?,no information on feature is available,6
133-A,133,A,feature is pervasive or obligatory,1
133-B,133,B,feature is neither pervasive nor extremely rare,2
133-C,133,C,"feature exists, but is extremely rare",3
133-D,133,D,attested absence of feature,4
133-X,133,X,feature is not applicable (given the structural make-up of the variety/P/C),5
133-NA,133,?,no information on feature is available,6
134-A,134,A,feature is pervasive or obligatory,1
134-B,134,B,feature is neither pervasive nor extremely rare,2
134-C,134,C,"feature exists, but is extremely rare",3
134-D,134,D,attested absence of feature,4
134-X,134,X,feature is not applicable (given the structural make-up of the variety/P/C),5
134-NA,134,?,no information on feature is available,6
135-A,135,A,feature is pervasive or obligatory,1
135-B,135,B,feature is neither pervasive nor extremely rare,2
135-C,135,C,"feature exists, but is extremely rare",3
135-D,135,D,attested absence of feature,4
135-X,135,X,feature is not applicable (given the structural make-up of the variety/P/C),5
135-NA,135,?,no information on feature is available,6
136-A,136,A,feature is pervasive or obligatory,1
136-B,136,B,feature is neither pervasive nor extremely rare,2
136-C,136,C,"feature exists, but is extremely rare",3
136-D,136,D,attested absence of feature,4
136-X,136,X,feature is not applicable (given the structural make-up of the variety/P/C),5
136-NA,136,?,no information on feature is available,6
137-A,137,A,feature is pervasive or obligatory,1
137-B,137,B,feature is neither pervasive nor extremely rare,2
137-C,137,C,"feature exists, but is extremely rare",3
137-D,137,D,attested absence of feature,4
137-X,137,X,feature is not applicable (given the structural make-up of the variety/P/C),5
137-NA,137,?,no information on feature is available,6
138-A,138,A,feature is pervasive or obligatory,1
138-B,138,B,feature is neither pervasive nor extremely rare,2
138-C,138,C,"feature exists, but is extremely rare",3
138-D,138,D,attested absence of feature,4
138-X,138,X,feature is not applicable (given the structural make-up of the variety/P/C),5
138-NA,138,?,no information on feature is available,6
139-A,139,A,feature is pervasive or obligatory,1
139-B,139,B,feature is neither pervasive nor extremely rare,2
139-C,139,C,"feature exists, but is extremely rare",3
139-D,139,D,attested absence of feature,4
139-X,139,X,feature is not applicable (given the structural make-up of the variety/P/C),5
139-NA,139,?,no information on feature is available,6
140-A,140,A,feature is pervasive or obligatory,1
140-B,140,B,feature is neither pervasive nor extremely rare,2
140-C,140,C,"feature exists, but is extremely rare",3
140-D,140,D,attested absence of feature,4
140-X,140,X,feature is not applicable (given the structural make-up of the variety/P/C),5
140-NA,140,?,no information on feature is available,6
141-A,141,A,feature is pervasive or obligatory,1
141-B,141,B,feature is neither pervasive nor extremely rare,2
141-C,141,C,"feature exists, but is extremely rare",3
141-D,141,D,attested absence of feature,4
141-X,141,X,feature is not applicable (given the structural make-up of the variety/P/C),5
141-NA,141,?,no information on feature is available,6
142-A,142,A,feature is pervasive or obligatory,1
142-B,142,B,feature is neither pervasive nor extremely rare,2
142-C,142,C,"feature exists, but is extremely rare",3
142-D,142,D,attested absence of feature,4
142-X,142,X,feature is not applicable (given the structural make-up of the variety/P/C),5
142-NA,142,?,no information on feature is available,6
143-A,143,A,feature is pervasive or obligatory,1
143-B,143,B,feature is neither pervasive nor extremely rare,2
143-C,143,C,"feature exists, but is extremely rare",3
143-D,143,D,attested absence of feature,4
143-X,143,X,feature is not applicable (given the structural make-up of the variety/P/C),5
143-NA,143,?,no information on feature is available,6
144-A,144,A,feature is pervasive or obligatory,1
144-B,144,B,feature is neither pervasive nor extremely rare,2
144-C,144,C,"feature exists, but is extremely rare",3
144-D,144,D,attested absence of feature,4
144-X,144,X,feature is not applicable (given the structural make-up of the variety/P/C),5
144-NA,144,?,no information on feature is available,6
145-A,145,A,feature is pervasive or obligatory,1
145-B,145,B,feature is neither pervasive nor extremely rare,2
145-C,145,C,"feature exists, but is extremely rare",3
145-D,145,D,attested absence of feature,4
145-X,145,X,feature is not applicable (given the structural make-up of the variety/P/C),5
145-NA,145,?,no information on feature is available,6
146-A,146,A,feature is pervasive or obligatory,1
146-B,146,B,feature is neither pervasive nor extremely rare,2
146-C,146,C,"feature exists, but is extremely rare",3
146-D,146,D,attested absence of feature,4
146-X,146,X,feature is not applicable (given the structural make-up of the variety/P/C),5
146-NA,146,?,no information on feature is available,6
147-A,147,A,feature is pervasive or obligatory,1
147-B,147,B,feature is neither pervasive nor extremely rare,2
147-C,147,C,"feature exists, but is extremely rare",3
147-D,147,D,attested absence of feature,4
147-X,147,X,feature is not applicable (given the structural make-up of the variety/P/C),5
147-NA,147,?,no information on feature is available,6
148-A,148,A,feature is pervasive or obligatory,1
148-B,148,B,feature is neither pervasive nor extremely rare,2
148-C,148,C,"feature exists, but is extremely rare",3
148-D,148,D,attested absence of feature,4
148-X,148,X,feature is not applicable (given the structural make-up of the variety/P/C),5
148-NA,148,?,no information on feature is available,6
149-A,149,A,feature is pervasive or obligatory,1
149-B,149,B,feature is neither pervasive nor extremely rare,2
149-C,149,C,"feature exists, but is extremely rare",3
149-D,149,D,attested absence of feature,4
149-X,149,X,feature is not applicable (given the structural make-up of the variety/P/C),5
149-NA,149,?,no information on feature is available,6
150-A,150,A,feature is pervasive or obligatory,1
150-B,150,B,feature is neither pervasive nor extremely rare,2
150-C,150,C,"feature exists, but is extremely rare",3
150-D,150,D,attested absence of feature,4
150-X,150,X,feature is not applicable (given the structural make-up of the variety/P/C),5
150-NA,150,?,no information on feature is available,6
151-A,151,A,feature is pervasive or obligatory,1
151-B,151,B,feature is neither pervasive nor extremely rare,2
151-C,151,C,"feature exists, but is extremely rare",3
151-D,151,D,attested absence of feature,4
151-X,151,X,feature is not applicable (given the structural make-up of the variety/P/C),5
151-NA,151,?,no information on feature is available,6
152-A,152,A,feature is pervasive or obligatory,1
152-B,152,B,feature is neither pervasive nor extremely rare,2
152-C,152,C,"feature exists, but is extremely rare",3
152-D,152,D,attested absence of feature,4
152-X,152,X,feature is not applicable (given the structural make-up of the variety/P/C),5
152-NA,152,?,no information on feature is available,6
153-A,153,A,feature is pervasive or obligatory,1
153-B,153,B,feature is neither pervasive nor extremely rare,2
153-C,153,C,"feature exists, but is extremely rare",3
153-D,153,D,attested absence of feature,4
153-X,153,X,feature is not applicable (given the structural make-up of the variety/P/C),5
153-NA,153,?,no information on feature is available,6
154-A,154,A,feature is pervasive or obligatory,1
154-B,154,B,feature is neither pervasive nor extremely rare,2
154-C,154,C,"feature exists, but is extremely rare",3
154-D,154,D,attested absence of feature,4
154-X,154,X,feature is not applicable (given the structural make-up of the variety/P/C),5
154-NA,154,?,no information on feature is available,6
155-A,155,A,feature is pervasive or obligatory,1
155-B,155,B,feature is neither pervasive nor extremely rare,2
155-C,155,C,"feature exists, but is extremely rare",3
155-D,155,D,attested absence of feature,4
155-X,155,X,feature is not applicable (given the structural make-up of the variety/P/C),5
155-NA,155,?,no information on feature is available,6
156-A,156,A,feature is pervasive or obligatory,1
156-B,156,B,feature is neither pervasive nor extremely rare,2
156-C,156,C,"feature exists, but is extremely rare",3
156-D,156,D,attested absence of feature,4
156-X,156,X,feature is not applicable (given the structural make-up of the variety/P/C),5
156-NA,156,?,no information on feature is available,6
157-A,157,A,feature is pervasive or obligatory,1
157-B,157,B,feature is neither pervasive nor extremely rare,2
157-C,157,C,"feature exists, but is extremely rare",3
157-D,157,D,attested absence of feature,4
157-X,157,X,feature is not applicable (given the structural make-up of the variety/P/C),5
157-NA,157,?,no information on feature is available,6
158-A,158,A,feature is pervasive or obligatory,1
158-B,158,B,feature is neither pervasive nor extremely rare,2
158-C,158,C,"feature exists, but is extremely rare",3
158-D,158,D,attested absence of feature,4
158-X,158,X,feature is not applicable (given the structural make-up of the variety/P/C),5
158-NA,158,?,no information on feature is available,6
159-A,159,A,feature is pervasive or obligatory,1
159-B,159,B,feature is neither pervasive nor extremely rare,2
159-C,159,C,"feature exists, but is extremely rare",3
159-D,159,D,attested absence of feature,4
159-X,159,X,feature is not applicable (given the structural make-up of the variety/P/C),5
159-NA,159,?,no information on feature is available,6
160-A,160,A,feature is pervasive or obligatory,1
160-B,160,B,feature is neither pervasive nor extremely rare,2
160-C,160,C,"feature exists, but is extremely rare",3
160-D,160,D,attested absence of feature,4
160-X,160,X,feature is not applicable (given the structural make-up of the variety/P/C),5
160-NA,160,?,no information on feature is available,6
161-A,161,A,feature is pervasive or obligatory,1
161-B,161,B,feature is neither pervasive nor extremely rare,2
161-C,161,C,"feature exists, but is extremely rare",3
161-D,161,D,attested absence of feature,4
161-X,161,X,feature is not applicable (given the structural make-up of the variety/P/C),5
161-NA,161,?,no information on feature is available,6
162-A,162,A,feature is pervasive or obligatory,1
162-B,162,B,feature is neither pervasive nor extremely rare,2
162-C,162,C,"feature exists, but is extremely rare",3
162-D,162,D,attested absence of feature,4
162-X,162,X,feature is not applicable (given the structural make-up of the variety/P/C),5
162-NA,162,?,no information on feature is available,6
163-A,163,A,feature is pervasive or obligatory,1
163-B,163,B,feature is neither pervasive nor extremely rare,2
163-C,163,C,"feature exists, but is extremely rare",3
163-D,163,D,attested absence of feature,4
163-X,163,X,feature is not applicable (given the structural make-up of the variety/P/C),5
163-NA,163,?,no information on feature is available,6
164-A,164,A,feature is pervasive or obligatory,1
164-B,164,B,feature is neither pervasive nor extremely rare,2
164-C,164,C,"feature exists, but is extremely rare",3
164-D,164,D,attested absence of feature,4
164-X,164,X,feature is not applicable (given the structural make-up of the variety/P/C),5
164-NA,164,?,no information on feature is available,6
165-A,165,A,feature is pervasive or obligatory,1
165-B,165,B,feature is neither pervasive nor extremely rare,2
165-C,165,C,"feature exists, but is extremely rare",3
165-D,165,D,attested absence of feature,4
165-X,165,X,feature is not applicable (given the structural make-up of the variety/P/C),5
165-NA,165,?,no information on feature is available,6
166-A,166,A,feature is pervasive or obligatory,1
166-B,166,B,feature is neither pervasive nor extremely rare,2
166-C,166,C,"feature exists, but is extremely rare",3
166-D,166,D,attested absence of feature,4
166-X,166,X,feature is not applicable (given the structural make-up of the variety/P/C),5
166-NA,166,?,no information on feature is available,6
167-A,167,A,feature is pervasive or obligatory,1
167-B,167,B,feature is neither pervasive nor extremely rare,2
167-C,167,C,"feature exists, but is extremely rare",3
167-D,167,D,attested absence of feature,4
167-X,167,X,feature is not applicable (given the structural make-up of the variety/P/C),5
167-NA,167,?,no information on feature is available,6
168-A,168,A,feature is pervasive or obligatory,1
168-B,168,B,feature is neither pervasive nor extremely rare,2
168-C,168,C,"feature exists, but is extremely rare",3
168-D,168,D,attested absence of feature,4
168-X,168,X,feature is not applicable (given the structural make-up of the variety/P/C),5
168-NA,168,?,no information on feature is available,6
169-A,169,A,feature is pervasive or obligatory,1
169-B,169,B,feature is neither pervasive nor extremely rare,2
169-C,169,C,"feature exists, but is extremely rare",3
169-D,169,D,attested absence of feature,4
169-X,169,X,feature is not applicable (given the structural make-up of the variety/P/C),5
169-NA,169,?,no information on feature is available,6
170-A,170,A,feature is pervasive or obligatory,1
170-B,170,B,feature is neither pervasive nor extremely rare,2
170-C,170,C,"feature exists, but is extremely rare",3
170-D,170,D,attested absence of feature,4
170-X,170,X,feature is not applicable (given the structural make-up of the variety/P/C),5
170-NA,170,?,no information on feature is available,6
171-A,171,A,feature is pervasive or obligatory,1
171-B,171,B,feature is neither pervasive nor extremely rare,2
171-C,171,C,"feature exists, but is extremely rare",3
171-D,171,D,attested absence of feature,4
171-X,171,X,feature is not applicable (given the structural make-up of the variety/P/C),5
171-NA,171,?,no information on feature is available,6
172-A,172,A,feature is pervasive or obligatory,1
172-B,172,B,feature is neither pervasive nor extremely rare,2
172-C,172,C,"feature exists, but is extremely rare",3
172-D,172,D,attested absence of feature,4
172-X,172,X,feature is not applicable (given the structural make-up of the variety/P/C),5
172-NA,172,?,no information on feature is available,6
173-A,173,A,feature is pervasive or obligatory,1
173-B,173,B,feature is neither pervasive nor extremely rare,2
173-C,173,C,"feature exists, but is extremely rare",3
173-D,173,D,attested absence of feature,4
173-X,173,X,feature is not applicable (given the structural make-up of the variety/P/C),5
173-NA,173,?,no information on feature is available,6
174-A,174,A,feature is pervasive or obligatory,1
174-B,174,B,feature is neither pervasive nor extremely rare,2
174-C,174,C,"feature exists, but is extremely rare",3
174-D,174,D,attested absence of feature,4
174-X,174,X,feature is not applicable (given the structural make-up of the variety/P/C),5
174-NA,174,?,no information on feature is available,6
175-A,175,A,feature is pervasive or obligatory,1
175-B,175,B,feature is neither pervasive nor extremely rare,2
175-C,175,C,"feature exists, but is extremely rare",3
175-D,175,D,attested absence of feature,4
175-X,175,X,feature is not applicable (given the structural make-up of the variety/P/C),5
175-NA,175,?,no information on feature is available,6
176-A,176,A,feature is pervasive or obligatory,1
176-B,176,B,feature is neither pervasive nor extremely rare,2
176-C,176,C,"feature exists, but is extremely rare",3
176-D,176,D,attested absence of feature,4
176-X,176,X,feature is not applicable (given the structural make-up of the variety/P/C),5
176-NA,176,?,no information on feature is available,6
177-A,177,A,feature is pervasive or obligatory,1
177-B,177,B,feature is neither pervasive nor extremely rare,2
177-C,177,C,"feature exists, but is extremely rare",3
177-D,177,D,attested absence of feature,4
177-X,177,X,feature is not applicable (given the structural make-up of the variety/P/C),5
177-NA,177,?,no information on feature is available,6
178-A,178,A,feature is pervasive or obligatory,1
178-B,178,B,feature is neither pervasive nor extremely rare,2
178-C,178,C,"feature exists, but is extremely rare",3
178-D,178,D,attested absence of feature,4
178-X,178,X,feature is not applicable (given the structural make-up of the variety/P/C),5
178-NA,178,?,no information on feature is available,6
179-A,179,A,feature is pervasive or obligatory,1
179-B,179,B,feature is neither pervasive nor extremely rare,2
179-C,179,C,"feature exists, but is extremely rare",3
179-D,179,D,attested absence of feature,4
179-X,179,X,feature is not applicable (given the structural make-up of the variety/P/C),5
179-NA,179,?,no information on feature is available,6
180-A,180,A,feature is pervasive or obligatory,1
180-B,180,B,feature is neither pervasive nor extremely rare,2
180-C,180,C,"feature exists, but is extremely rare",3
180-D,180,D,attested absence of feature,4
180-X,180,X,feature is not applicable (given the structural make-up of the variety/P/C),5
180-NA,180,?,no information on feature is available,6
181-A,181,A,feature is pervasive or obligatory,1
181-B,181,B,feature is neither pervasive nor extremely rare,2
181-C,181,C,"feature exists, but is extremely rare",3
181-D,181,D,attested absence of feature,4
181-X,181,X,feature is not applicable (given the structural make-up of the variety/P/C),5
181-NA,181,?,no information on feature is available,6
182-A,182,A,feature is pervasive or obligatory,1
182-B,182,B,feature is neither pervasive nor extremely rare,2
182-C,182,C,"feature exists, but is extremely rare",3
182-D,182,D,attested absence of feature,4
182-X,182,X,feature is not applicable (given the structural make-up of the variety/P/C),5
182-NA,182,?,no information on feature is available,6
183-A,183,A,feature is pervasive or obligatory,1
183-B,183,B,feature is neither pervasive nor extremely rare,2
183-C,183,C,"feature exists, but is extremely rare",3
183-D,183,D,attested absence of feature,4
183-X,183,X,feature is not applicable (given the structural make-up of the variety/P/C),5
183-NA,183,?,no information on feature is available,6
184-A,184,A,feature is pervasive or obligatory,1
184-B,184,B,feature is neither pervasive nor extremely rare,2
184-C,184,C,"feature exists, but is extremely rare",3
184-D,184,D,attested absence of feature,4
184-X,184,X,feature is not applicable (given the structural make-up of the variety/P/C),5
184-NA,184,?,no information on feature is available,6
185-A,185,A,feature is pervasive or obligatory,1
185-B,185,B,feature is neither pervasive nor extremely rare,2
185-C,185,C,"feature exists, but is extremely rare",3
185-D,185,D,attested absence of feature,4
185-X,185,X,feature is not applicable (given the structural make-up of the variety/P/C),5
185-NA,185,?,no information on feature is available,6
186-A,186,A,feature is pervasive or obligatory,1
186-B,186,B,feature is neither pervasive nor extremely rare,2
186-C,186,C,"feature exists, but is extremely rare",3
186-D,186,D,attested absence of feature,4
186-X,186,X,feature is not applicable (given the structural make-up of the variety/P/C),5
186-NA,186,?,no information on feature is available,6
187-A,187,A,feature is pervasive or obligatory,1
187-B,187,B,feature is neither pervasive nor extremely rare,2
187-C,187,C,"feature exists, but is extremely rare",3
187-D,187,D,attested absence of feature,4
187-X,187,X,feature is not applicable (given the structural make-up of the variety/P/C),5
187-NA,187,?,no information on feature is available,6
188-A,188,A,feature is pervasive or obligatory,1
188-B,188,B,feature is neither pervasive nor extremely rare,2
188-C,188,C,"feature exists, but is extremely rare",3
188-D,188,D,attested absence of feature,4
188-X,188,X,feature is not applicable (given the structural make-up of the variety/P/C),5
188-NA,188,?,no information on feature is available,6
189-A,189,A,feature is pervasive or obligatory,1
189-B,189,B,feature is neither pervasive nor extremely rare,2
189-C,189,C,"feature exists, but is extremely rare",3
189-D,189,D,attested absence of feature,4
189-X,189,X,feature is not applicable (given the structural make-up of the variety/P/C),5
189-NA,189,?,no information on feature is available,6
190-A,190,A,feature is pervasive or obligatory,1
190-B,190,B,feature is neither pervasive nor extremely rare,2
190-C,190,C,"feature exists, but is extremely rare",3
190-D,190,D,attested absence of feature,4
190-X,190,X,feature is not applicable (given the structural make-up of the variety/P/C),5
190-NA,190,?,no information on feature is available,6
191-A,191,A,feature is pervasive or obligatory,1
191-B,191,B,feature is neither pervasive nor extremely rare,2
191-C,191,C,"feature exists, but is extremely rare",3
191-D,191,D,attested absence of feature,4
191-X,191,X,feature is not applicable (given the structural make-up of the variety/P/C),5
191-NA,191,?,no information on feature is available,6
192-A,192,A,feature is pervasive or obligatory,1
192-B,192,B,feature is neither pervasive nor extremely rare,2
192-C,192,C,"feature exists, but is extremely rare",3
192-D,192,D,attested absence of feature,4
192-X,192,X,feature is not applicable (given the structural make-up of the variety/P/C),5
192-NA,192,?,no information on feature is available,6
193-A,193,A,feature is pervasive or obligatory,1
193-B,193,B,feature is neither pervasive nor extremely rare,2
193-C,193,C,"feature exists, but is extremely rare",3
